Rank,Probability,Label,SOC_Code,Occupation
360,0.65,,25-4021,Librarians
361,0.65,,49-2097,ElectronicHomeEntertainmentEquipmentInstallersandRepairers
362,0.65,,49-9021,"Heating,AirConditioning,andRefrigerationMechanicsandInstallers"
363,0.65,,53-7041,HoistandWinchOperators
364,0.66,,37-2021,PestControlWorkers
365,0.66,,51-9198,Helpers–ProductionWorkers
366,0.66,,43-9111,StatisticalAssistants
367,0.66,,37-2011,"JanitorsandCleaners,ExceptMaidsandHousekeepingCleaners"
368,0.66,,49-3051,MotorboatMechanicsandServiceTechnicians
369,0.67,,51-9196,"PaperGoodsMachineSetters,Operators,andTenders"
370,0.67,,51-4071,FoundryMoldandCoremakers
371,0.67,,19-2021,AtmosphericandSpaceScientists
372,0.67,1,53-3021,"BusDrivers,TransitandIntercity"
373,0.67,,33-9092,"Lifeguards,SkiPatrol,andOtherRecreationalProtectiveServiceWork-"
374,0.67,,49-9041,IndustrialMachineryMechanics
375,0.68,,43-5052,PostalServiceMailCarriers
376,0.68,,47-5071,"Roustabouts,OilandGas"
377,0.68,,47-2011,Boilermakers
378,0.68,,17-3013,MechanicalDrafters
379,0.68,,29-2021,DentalHygienists
380,0.69,1,53-3033,LightTruckorDeliveryServicesDrivers
381,0.69,0,37-2012,MaidsandHousekeepingCleaners
382,0.69,,51-9122,"Painters,TransportationEquipment"
383,0.7,,43-4061,"EligibilityInterviewers,GovernmentPrograms"
384,0.7,,49-3093,TireRepairersandChangers
385,0.7,,51-3092,FoodBatchmakers
386,0.7,,49-2091,AvionicsTechnicians
387,0.71,,49-3011,AircraftMechanicsandServiceTechnicians
388,0.71,,53-2022,AirfieldOperationsSpecialists
389,0.71,,51-8093,"PetroleumPumpSystemOperators,RefineryOperators,andGaugers"
390,0.71,,47-4799,"ConstructionandRelatedWorkers,AllOther"
391,0.71,,29-2081,"Opticians,Dispensing"
392,0.71,,51-6011,LaundryandDry-CleaningWorkers
393,0.72,,39-3091,AmusementandRecreationAttendants
394,0.72,,31-9095,PharmacyAides
395,0.72,,47-3016,Helpers–Roofers
396,0.72,,53-7121,"TankCar,Truck,andShipLoaders"
397,0.72,,49-9031,HomeApplianceRepairers
398,0.72,,47-2031,Carpenters
399,0.72,,27-3012,PublicAddressSystemandOtherAnnouncers
400,0.73,,51-6063,"TextileKnittingandWeavingMachineSetters,Operators,andTenders"
401,0.73,,11-3011,AdministrativeServicesManagers
402,0.73,,47-2121,Glaziers
403,0.73,,51-2021,"CoilWinders,Tapers,andFinishers"
404,0.73,,49-3031,BusandTruckMechanicsandDieselEngineSpecialists
405,0.74,,49-2011,"Computer,AutomatedTeller,andOfficeMachineRepairers"
406,0.74,,39-9021,PersonalCareAides
407,0.74,,27-4012,BroadcastTechnicians
408,0.74,,47-3013,Helpers–Electricians
409,0.75,,11-9131,PostmastersandMailSuperintendents
410,0.75,,47-2044,TileandMarbleSetters
411,0.75,,47-2141,"Painters,ConstructionandMaintenance"
412,0.75,,53-6061,"TransportationAttendants,ExceptFlightAttendants"
413,0.75,1,17-3022,CivilEngineeringTechnicians
414,0.75,,49-3041,FarmEquipmentMechanicsandServiceTechnicians
415,0.76,,25-4011,Archivists
416,0.76,,51-9011,ChemicalEquipmentOperatorsandTenders
417,0.76,,49-2092,"ElectricMotor,PowerTool,andRelatedRepairers"
418,0.76,,45-4021,Fallers
419,0.77,,19-4091,"EnvironmentalScienceandProtectionTechnicians,IncludingHealth"
420,0.77,,49-9094,LocksmithsandSafeRepairers
421,0.77,,37-3013,TreeTrimmersandPruners
422,0.77,,35-3011,Bartenders
423,0.77,,13-1023,"PurchasingAgents,ExceptWholesale,Retail,andFarmProducts"
424,0.77,1,35-9021,Dishwashers
425,0.77,0,45-3021,HuntersandTrappers
426,0.78,,31-9093,MedicalEquipmentPreparers
427,0.78,,51-4031,"Cutting,Punching,andPressMachineSetters,Operators,andTenders,"
428,0.78,,43-9011,ComputerOperators
429,0.78,,51-8092,GasPlantOperators
430,0.79,,43-5053,"PostalServiceMailSorters,Processors,andProcessingMachineOper-"
431,0.79,,53-3032,HeavyandTractor-TrailerTruckDrivers
432,0.79,,39-5093,Shampooers
433,0.79,,47-2081,DrywallandCeilingTileInstallers
434,0.79,,49-9098,"Helpers–Installation,Maintenance,andRepairWorkers"
435,0.79,,49-3052,MotorcycleMechanics
436,0.79,,51-2011,"AircraftStructure,Surfaces,Rigging,andSystemsAssemblers"
437,0.79,,45-4022,LoggingEquipmentOperators
438,0.79,,47-2042,"FloorLayers,ExceptCarpet,Wood,andHardTiles"
439,0.8,,39-5011,Barbers
440,0.8,,47-5011,"DerrickOperators,OilandGas"
441,0.81,1,35-2011,"Cooks,FastFood"
442,0.81,,43-9022,WordProcessorsandTypists
443,0.81,1,17-3012,ElectricalandElectronicsDrafters
444,0.81,,17-3024,Electro-MechanicalTechnicians
445,0.81,,51-9192,"Cleaning,Washing,andMetalPicklingEquipmentOperatorsandTen-"
446,0.81,,11-9141,"Property,RealEstate,andCommunityAssociationManagers"
447,0.81,,43-6013,MedicalSecretaries
448,0.81,,51-6021,"Pressers,Textile,Garment,andRelatedMaterials"
449,0.82,,51-2031,EngineandOtherMachineAssemblers
450,0.82,,49-2098,SecurityandFireAlarmSystemsInstallers
451,0.82,,49-9045,"RefractoryMaterialsRepairers,ExceptBrickmasons"
452,0.82,,39-2021,NonfarmAnimalCaretakers
453,0.82,1,47-2211,SheetMetalWorkers
454,0.82,,47-2072,Pile-DriverOperators
455,0.82,,47-2021,BrickmasonsandBlockmasons
456,0.83,,45-3011,FishersandRelatedFishingWorkers
457,0.83,,47-2221,StructuralIronandSteelWorkers
458,0.83,,53-4021,"RailroadBrake,Signal,andSwitchOperators"
459,0.83,,53-4031,RailroadConductorsandYardmasters
460,0.83,,35-2012,"Cooks,InstitutionandCafeteria"
461,0.83,,53-5011,SailorsandMarineOilers
462,0.83,,51-9023,"MixingandBlendingMachineSetters,Operators,andTenders"
463,0.83,,47-3011,"Helpers–Brickmasons,Blockmasons,Stonemasons,andTileandMar-"
464,0.83,,47-4091,SegmentalPavers
465,0.83,,47-2131,"InsulationWorkers,Floor,Ceiling,andWall"
466,0.83,,51-5112,PrintingPressOperators
467,0.83,,53-6031,AutomotiveandWatercraftServiceAttendants
468,0.83,,47-4071,SepticTankServicersandSewerPipeCleaners
469,0.83,,39-6011,BaggagePortersandBellhops
470,0.83,,41-2012,GamingChangePersonsandBoothCashiers
471,0.83,,51-4023,"RollingMachineSetters,Operators,andTenders,MetalandPlastic"
472,0.83,,47-2071,"Paving,Surfacing,andTampingEquipmentOperators"
473,0.84,,51-4111,ToolandDieMakers
474,0.84,,17-3023,ElectricalandElectronicsEngineeringTechnicians
475,0.84,,47-2161,PlasterersandStuccoMasons
476,0.84,,51-4192,"LayoutWorkers,MetalandPlastic"
477,0.84,,51-4034,"LatheandTurningMachineToolSetters,Operators,andTenders,Metal"
478,0.84,,33-9032,SecurityGuards
479,0.84,,51-6052,"Tailors,Dressmakers,andCustomSewers"
480,0.84,,53-7073,WellheadPumpers
481,0.84,,43-9081,ProofreadersandCopyMarkers
482,0.84,,33-3041,ParkingEnforcementWorkers
483,0.85,,53-7062,"LaborersandFreight,Stock,andMaterialMovers,Hand"
484,0.85,,41-4012,"SalesRepresentatives,WholesaleandManufacturing,ExceptTechnical"
485,0.85,1,43-5041,"MeterReaders,Utilities"
486,0.85,,51-8013,PowerPlantOperators
487,0.85,,51-8091,ChemicalPlantandSystemOperators
488,0.85,,47-5021,"EarthDrillers,ExceptOilandGas"
489,0.85,,19-4051,NuclearTechnicians
490,0.86,,43-6011,ExecutiveSecretariesandExecutiveAdministrativeAssistants
491,0.86,,51-8099,"PlantandSystemOperators,AllOther"
492,0.86,,35-3041,"FoodServers,Nonrestaurant"
493,0.86,,51-7041,"SawingMachineSetters,Operators,andTenders,Wood"
494,0.86,,53-4041,SubwayandStreetcarOperators
495,0.86,,31-9096,VeterinaryAssistantsandLaboratoryAnimalCaretakers
496,0.86,,51-9032,"CuttingandSlicingMachineSetters,Operators,andTenders"
497,0.86,,41-9022,RealEstateSalesAgents
498,0.86,1,51-4011,"Computer-ControlledMachineToolOperators,MetalandPlastic"
499,0.86,,49-9043,"MaintenanceWorkers,Machinery"
500,0.86,,43-4021,CorrespondenceClerks
501,0.87,,45-2090,MiscellaneousAgriculturalWorkers
502,0.87,,45-4011,ForestandConservationWorkers
503,0.87,,51-4052,"PourersandCasters,Metal"
504,0.87,,47-2041,CarpetInstallers
505,0.87,,47-2142,Paperhangers
506,0.87,,13-1021,"BuyersandPurchasingAgents,FarmProducts"
507,0.87,,51-7021,FurnitureFinishers
508,0.87,,35-2021,FoodPreparationWorkers
509,0.87,,47-2043,FloorSandersandFinishers
510,0.87,1,53-6021,ParkingLotAttendants
511,0.87,,47-4051,HighwayMaintenanceWorkers
512,0.88,,47-2061,ConstructionLaborers
513,0.88,,43-5061,"Production,Planning,andExpeditingClerks"
514,0.88,,51-9141,SemiconductorProcessors
515,0.88,,17-1021,CartographersandPhotogrammetrists
516,0.88,,51-4051,Metal-RefiningFurnaceOperatorsandTenders
517,0.88,,51-9012,"Separating, Filtering, Clarifying,Precipitating, andStillMachineSet-"
518,0.88,,51-6091,"ExtrudingandFormingMachineSetters,Operators,andTenders,Syn-"
519,0.88,,47-2053,TerrazzoWorkersandFinishers
520,0.88,,51-4194,"ToolGrinders,Filers,andSharpeners"
521,0.88,,49-3043,RailCarRepairers
522,0.89,,51-3011,Bakers
523,0.89,1,31-9094,MedicalTranscriptionists
524,0.89,,47-2022,Stonemasons
525,0.89,,53-3022,"BusDrivers,SchoolorSpecialClient"
526,0.89,1,27-3042,TechnicalWriters
527,0.89,,49-9096,Riggers
528,0.89,,47-4061,Rail-TrackLayingandMaintenanceEquipmentOperators
529,0.89,,51-8021,StationaryEngineersandBoilerOperators
530,0.89,1,51-6031,SewingMachineOperators
531,0.89,1,53-3041,TaxiDriversandChauffeurs
532,0.9,1,43-4161,"HumanResourcesAssistants,ExceptPayrollandTimekeeping"
533,0.9,,29-2011,MedicalandClinicalLaboratoryTechnologists
534,0.9,,47-2171,ReinforcingIronandRebarWorkers
535,0.9,,47-2181,Roofers
536,0.9,,53-7021,CraneandTowerOperators
537,0.9,,53-6041,TrafficTechnicians
538,0.9,,53-6051,TransportationInspectors
539,0.9,,51-4062,"Patternmakers,MetalandPlastic"
540,0.9,,51-9195,"Molders,Shapers,andCasters,ExceptMetalandPlastic"
541,0.9,,13-2021,AppraisersandAssessorsofRealEstate
542,0.9,,53-7072,"PumpOperators,ExceptWellheadPumpers"
543,0.9,,49-9097,SignalandTrackSwitchRepairers
544,0.91,,39-3012,GamingandSportsBookWritersandRunners
545,0.91,,49-9063,MusicalInstrumentRepairersandTuners
546,0.91,,39-7011,TourGuidesandEscorts
547,0.91,,49-9011,MechanicalDoorRepairers
548,0.91,,51-3091,"FoodandTobaccoRoasting, Baking, andDryingMachine Operators"
549,0.91,,53-7071,GasCompressorandGasPumpingStationOperators
550,0.91,,29-2071,MedicalRecordsandHealthInformationTechnicians
551,0.91,,51-9121,"Coating,Painting,andSprayingMachineSetters,Operators,andTen-"
552,0.91,,51-4081,"MultipleMachineToolSetters,Operators,andTenders,MetalandPlas-"
553,0.91,,53-4013,"RailYardEngineers,DinkeyOperators,andHostlers"
554,0.91,,49-2093,"Electrical and Electronics Installers and Repairers, Transportation"
555,0.91,,35-9011,DiningRoomandCafeteriaAttendantsandBartenderHelpers
556,0.91,,51-4191,"Heat Treating Equipment Setters, Operators, andTenders, Metal and"
557,0.91,,19-4041,GeologicalandPetroleumTechnicians
558,0.91,,49-3021,AutomotiveBodyandRelatedRepairers
559,0.91,,51-7032,"Patternmakers,Wood"
560,0.91,,51-4021,"ExtrudingandDrawingMachineSetters,Operators,andTenders,Metal"
561,0.92,,43-9071,"OfficeMachineOperators,ExceptComputer"
562,0.92,,29-2052,PharmacyTechnicians
563,0.92,,43-4131,LoanInterviewersandClerks
564,0.92,,53-7031,DredgeOperators
565,0.92,,41-3021,InsuranceSalesAgents
566,0.92,,51-7011,CabinetmakersandBenchCarpenters
567,0.92,,51-9123,"Painting,Coating,andDecoratingWorkers"
568,0.92,,47-4031,FenceErectors
569,0.92,,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal"
570,0.92,,41-2031,RetailSalespersons
571,0.92,,35-3021,"CombinedFoodPreparationandServingWorkers,IncludingFastFood"
572,0.92,,51-9399,"ProductionWorkers,AllOther"
573,0.92,,47-3012,Helpers–Carpenters
574,0.93,,51-9193,CoolingandFreezingEquipmentOperatorsandTenders
575,0.93,,51-2091,FiberglassLaminatorsandFabricators
576,0.93,,47-5013,"ServiceUnitOperators,Oil,Gas,andMining"
577,0.93,,53-7011,ConveyorOperatorsandTenders
578,0.93,,49-3053,OutdoorPowerEquipmentandOtherSmallEngineMechanics
579,0.93,,53-4012,LocomotiveFirers
580,0.93,,53-7063,MachineFeedersandOffbearers
581,0.93,,51-4061,"ModelMakers,MetalandPlastic"
582,0.93,,49-2021,"Radio,Cellular,andTowerEquipmentInstallersandRepairs"
583,0.93,,51-3021,ButchersandMeatCutters
584,0.93,,51-9041,"Extruding,Forming,Pressing,andCompactingMachineSetters,Oper-"
585,0.93,,53-7081,RefuseandRecyclableMaterialCollectors
586,0.93,1,13-2081,"TaxExaminersandCollectors,andRevenueAgents"
587,0.93,,51-4022,"ForgingMachineSetters,Operators,andTenders,MetalandPlastic"
588,0.93,1,53-7051,IndustrialTruckandTractorOperators
589,0.94,1,13-2011,AccountantsandAuditors
590,0.94,,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders,"
591,0.94,,43-9051,"MailClerksandMailMachineOperators,ExceptPostalService"
592,0.94,0,35-3031,WaitersandWaitresses
593,0.94,,51-3022,"Meat,Poultry,andFishCuttersandTrimmers"
594,0.94,,13-2031,BudgetAnalysts
595,0.94,,47-2051,CementMasonsandConcreteFinishers
596,0.94,,49-3091,BicycleRepairers
597,0.94,,49-9091,"Coin,Vending,andAmusementMachineServicersandRepairers"
598,0.94,,51-4121,"Welders,Cutters,Solderers,andBrazers"
599,0.94,1,43-5021,CouriersandMessengers
600,0.94,,43-4111,"Interviewers,ExceptEligibilityandLoan"
601,0.94,,35-2015,"Cooks,ShortOrder"
602,0.94,,53-7032,ExcavatingandLoadingMachineandDraglineOperators
603,0.94,,47-3014,"Helpers–Painters,Paperhangers,Plasterers,andStuccoMasons"
604,0.94,,43-4081,"Hotel,Motel,andResortDeskClerks"
605,0.94,,51-9197,TireBuilders
606,0.94,,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related"
607,0.94,,37-1011,First-LineSupervisorsofHousekeepingandJanitorialWorkers
608,0.94,,45-2011,AgriculturalInspectors
609,0.94,1,23-2011,ParalegalsandLegalAssistants
610,0.95,,39-5092,ManicuristsandPedicurists
611,0.95,,43-5111,"Weighers,Measurers,Checkers,andSamplers,Recordkeeping"
612,0.95,,51-6062,"TextileCuttingMachineSetters,Operators,andTenders"
613,0.95,,43-3011,BillandAccountCollectors
614,0.95,,51-8011,NuclearPowerReactorOperators
615,0.95,,33-9031,GamingSurveillanceOfficersandGamingInvestigators
616,0.95,,43-4121,"LibraryAssistants,Clerical"
617,0.95,,47-2073,OperatingEngineersandOtherConstructionEquipmentOperators
618,0.95,,51-5113,PrintBindingandFinishingWorkers
619,0.95,,45-2021,AnimalBreeders
620,0.95,,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and"
621,0.95,1,51-2022,ElectricalandElectronicEquipmentAssemblers
622,0.95,,51-9191,AdhesiveBondingMachineOperatorsandTenders
623,0.95,,37-3011,LandscapingandGroundskeepingWorkers
624,0.95,,51-4033,"Grinding,Lapping,Polishing,andBuffingMachineToolSetters,Oper-"
625,0.95,,43-5051,PostalServiceClerks
626,0.95,,51-9071,JewelersandPreciousStoneandMetalWorkers
627,0.96,,43-5032,"Dispatchers,ExceptPolice,Fire,andAmbulance"
628,0.96,,43-4171,ReceptionistsandInformationClerks
629,0.96,,43-9061,"OfficeClerks,General"
630,0.96,,11-3111,CompensationandBenefitsManagers
631,0.96,1,43-2011,"SwitchboardOperators,IncludingAnsweringService"
632,0.96,,35-3022,"CounterAttendants,Cafeteria,FoodConcession,andCoffeeShop"
633,0.96,,47-5051,"RockSplitters,Quarry"
634,0.96,,43-6014,"SecretariesandAdministrativeAssistants,ExceptLegal,Medical,and"
635,0.96,,17-3031,SurveyingandMappingTechnicians
636,0.96,,51-7031,"ModelMakers,Wood"
637,0.96,,51-6064,"TextileWinding,Twisting,andDrawingOutMachineSetters,Opera-"
638,0.96,,53-4011,LocomotiveEngineers
639,0.96,1,39-3011,GamingDealers
640,0.96,,49-9093,"FabricMenders,ExceptGarment"
641,0.96,,35-2014,"Cooks,Restaurant"
642,0.96,,39-3031,"Ushers,LobbyAttendants,andTicketTakers"
643,0.96,,43-3021,BillingandPostingClerks
644,0.97,,53-6011,BridgeandLockTenders
645,0.97,,51-7042,"WoodworkingMachineSetters,Operators,andTenders,ExceptSawing"
646,0.97,,51-2092,TeamAssemblers
647,0.97,,51-6042,ShoeMachineOperatorsandTenders
648,0.97,,51-2023,ElectromechanicalEquipmentAssemblers
649,0.97,1,13-1074,FarmLaborContractors
650,0.97,,51-6061,TextileBleachingandDyeingMachineOperatorsandTenders
651,0.97,,51-9081,DentalLaboratoryTechnicians
652,0.97,,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and"
653,0.97,,51-9022,"GrindingandPolishingWorkers,Hand"
654,0.97,,37-3012,"PesticideHandlers,Sprayers,andApplicators,Vegetation"
655,0.97,,45-4023,LogGradersandScalers
656,0.97,,51-9083,OphthalmicLaboratoryTechnicians
657,0.97,1,41-2011,Cashiers
658,0.97,,49-9061,CameraandPhotographicEquipmentRepairers
659,0.97,,39-3021,MotionPictureProjectionists
660,0.97,,51-5111,PrepressTechniciansandWorkers
661,0.97,,41-2021,CounterandRentalClerks
662,0.97,1,43-4071,FileClerks
663,0.97,,41-9021,RealEstateBrokers
664,0.97,,43-2021,TelephoneOperators
665,0.97,,19-4011,AgriculturalandFoodScienceTechnicians
666,0.97,,43-3051,PayrollandTimekeepingClerks
667,0.97,1,43-4041,"CreditAuthorizers,Checkers,andClerks"
668,0.97,,35-9031,"HostsandHostesses,Restaurant,Lounge,andCoffeeShop"
669,0.98,,41-9012,Models
670,0.98,,51-9061,"Inspectors,Testers,Sorters,Samplers,andWeighers"
671,0.98,,43-3031,"Bookkeeping,Accounting,andAuditingClerks"
672,0.98,,43-6012,LegalSecretaries
673,0.98,,27-4013,RadioOperators
674,0.98,,53-3031,Driver/SalesWorkers
675,0.98,1,13-1031,"ClaimsAdjusters,Examiners,andInvestigators"
676,0.98,,41-2022,PartsSalespersons
677,0.98,1,13-2041,CreditAnalysts
678,0.98,,51-4035,"Milling andPlaning Machine Setters, Operators, and Tenders, Metal"
679,0.98,,43-5071,"Shipping,Receiving,andTrafficClerks"
680,0.98,,43-3061,ProcurementClerks
681,0.98,,51-9111,PackagingandFillingMachineOperatorsandTenders
682,0.98,,51-9194,EtchersandEngravers
683,0.98,,43-3071,Tellers
684,0.98,,27-2023,"Umpires,Referees,andOtherSportsOfficials"
685,0.98,,13-1032,"InsuranceAppraisers,AutoDamage"
686,0.98,1,13-2072,LoanOfficers
687,0.98,,43-4151,OrderClerks
688,0.98,,43-4011,BrokerageClerks
689,0.98,,43-9041,InsuranceClaimsandPolicyProcessingClerks
690,0.98,,51-2093,TimingDeviceAssemblersandAdjusters
691,0.99,1,43-9021,DataEntryKeyers
692,0.99,,25-4031,LibraryTechnicians
693,0.99,,43-4141,NewAccountsClerks
694,0.99,,51-9151,PhotographicProcessWorkersandProcessingMachineOperators
695,0.99,,13-2082,TaxPreparers
696,0.99,,43-5011,CargoandFreightAgents
697,0.99,,49-9064,WatchRepairers
698,0.99,1,13-2053,InsuranceUnderwriters
699,0.99,,15-2091,MathematicalTechnicians
700,0.99,,51-6051,"Sewers,Hand"
701,0.99,,23-2093,"TitleExaminers,Abstractors,andSearchers"
702,0.99,,41-9041,Telemarketers
